epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1141.35,1.76066,2.16841,1.24405,0.427,0.38229,0.34661,0.19864,1.84735,2.30295,1.21061,0.00023764,0.00023764,0.00023764
43,1168.22,1.7363,2.13779,1.25051,0.5189,0.35569,0.38609,0.20903,1.79937,2.128,1.23492,0.00023368,0.00023368,0.00023368
44,1196.43,1.76477,2.10915,1.26996,0.47495,0.34191,0.3925,0.20195,1.95565,2.08881,1.25047,0.00022972,0.00022972,0.00022972
45,1223.83,1.70659,2.06323,1.23787,0.44259,0.42101,0.38102,0.19614,1.97165,2.19647,1.23465,0.00022576,0.00022576,0.00022576
46,1250.55,1.72716,2.09492,1.25187,0.51369,0.33454,0.34388,0.18516,2.0554,2.19714,1.29639,0.0002218,0.0002218,0.0002218
47,1276.61,1.71504,2.06604,1.23555,0.43218,0.35059,0.34117,0.17251,2.0217,2.12566,1.22542,0.00021784,0.00021784,0.00021784
48,1302.9,1.71769,2.03482,1.21341,0.42606,0.40989,0.36286,0.20378,1.92417,2.08989,1.24195,0.00021388,0.00021388,0.00021388
49,1328.59,1.67906,2.05853,1.21647,0.38386,0.39646,0.35085,0.18018,1.93051,2.26807,1.29298,0.00020992,0.00020992,0.00020992
50,1355.78,1.69528,1.99064,1.21435,0.48255,0.36196,0.36587,0.18773,1.90432,2.18904,1.2632,0.00020596,0.00020596,0.00020596
51,1379.45,1.71536,1.99156,1.21892,0.44596,0.36351,0.35903,0.18491,2.0186,2.14674,1.25886,0.000202,0.000202,0.000202
52,1403.32,1.64744,1.9439,1.20778,0.46705,0.41172,0.39429,0.20521,1.95529,2.07652,1.2578,0.00019804,0.00019804,0.00019804
53,1429.5,1.67905,1.96585,1.21804,0.43601,0.34488,0.37301,0.21548,1.84277,2.20981,1.27923,0.00019408,0.00019408,0.00019408
54,1455.72,1.67456,1.9698,1.19146,0.49921,0.38715,0.43516,0.2247,1.8819,2.04344,1.23974,0.00019012,0.00019012,0.00019012
55,1481.34,1.68573,1.92562,1.20122,0.54614,0.3646,0.424,0.21849,1.93934,2.00767,1.27019,0.00018616,0.00018616,0.00018616
56,1507.42,1.63455,1.90621,1.18755,0.51068,0.36995,0.40605,0.19602,1.92639,2.13502,1.2346,0.0001822,0.0001822,0.0001822
57,1532.33,1.65424,1.85479,1.19585,0.55713,0.3192,0.44098,0.23033,1.90978,2.07358,1.24866,0.00017824,0.00017824,0.00017824
58,1556.92,1.64078,1.83551,1.17093,0.49585,0.39821,0.39524,0.20803,1.9028,1.98411,1.25209,0.00017428,0.00017428,0.00017428
59,1580.35,1.64435,1.84782,1.17861,0.50823,0.37183,0.42345,0.22761,1.87298,2.00898,1.26382,0.00017032,0.00017032,0.00017032
60,1603.28,1.67111,1.90667,1.20071,0.52161,0.40064,0.42659,0.22369,1.87454,2.03323,1.25128,0.00016636,0.00016636,0.00016636
61,1627.33,1.62311,1.80038,1.14476,0.51433,0.37063,0.45012,0.22412,1.84277,2.02078,1.23906,0.0001624,0.0001624,0.0001624
62,1653.23,1.64294,1.81555,1.18795,0.53186,0.33691,0.42338,0.23608,1.85618,2.05717,1.2918,0.00015844,0.00015844,0.00015844
63,1678.94,1.59414,1.76023,1.1712,0.52503,0.38502,0.42075,0.22235,1.88535,2.07507,1.25512,0.00015448,0.00015448,0.00015448
64,1704.59,1.64163,1.83459,1.17132,0.49712,0.37625,0.39964,0.21208,1.82002,1.96618,1.25585,0.00015052,0.00015052,0.00015052
65,1730.18,1.59211,1.76067,1.16809,0.48205,0.34703,0.43513,0.23941,1.86719,2.07153,1.25554,0.00014656,0.00014656,0.00014656
66,1755.73,1.60028,1.76573,1.16751,0.50641,0.34299,0.39719,0.21226,1.82977,2.09954,1.26976,0.0001426,0.0001426,0.0001426
67,1781.34,1.56384,1.76327,1.13982,0.51856,0.4117,0.40732,0.20718,1.94862,2.01898,1.22642,0.00013864,0.00013864,0.00013864
68,1806.83,1.56677,1.74679,1.16293,0.49631,0.42646,0.47188,0.24146,1.87708,1.98849,1.2264,0.00013468,0.00013468,0.00013468
69,1832.66,1.57092,1.75561,1.15789,0.50004,0.41335,0.40553,0.2234,1.85686,1.97328,1.24367,0.00013072,0.00013072,0.00013072
70,1858.32,1.54339,1.65362,1.14368,0.60962,0.32247,0.42186,0.22201,1.85154,1.99102,1.2309,0.00012676,0.00012676,0.00012676
71,1884.01,1.559,1.70937,1.13757,0.35933,0.40435,0.39459,0.20122,1.98467,2.01579,1.2396,0.0001228,0.0001228,0.0001228
72,1909.72,1.58161,1.71318,1.15233,0.48216,0.41484,0.43768,0.22945,1.97229,1.93873,1.24138,0.00011884,0.00011884,0.00011884
73,1935.3,1.54037,1.63857,1.13982,0.45159,0.41244,0.45003,0.24457,1.8045,1.7583,1.16573,0.00011488,0.00011488,0.00011488
74,1960.87,1.56611,1.66593,1.14483,0.50887,0.37992,0.43132,0.2281,1.89407,2.08518,1.26665,0.00011092,0.00011092,0.00011092
75,1986.46,1.51498,1.64121,1.13002,0.49732,0.40887,0.41774,0.21425,1.9694,2.02808,1.28983,0.00010696,0.00010696,0.00010696
76,2012,1.53892,1.62808,1.14714,0.6279,0.33149,0.43167,0.23393,1.89334,1.92844,1.23253,0.000103,0.000103,0.000103
77,2037.57,1.53355,1.65626,1.13167,0.42005,0.39245,0.40378,0.21808,1.92459,1.92876,1.25705,9.904e-05,9.904e-05,9.904e-05
78,2063.15,1.494,1.61771,1.12164,0.50772,0.39677,0.45687,0.23586,1.97994,2.01103,1.25727,9.508e-05,9.508e-05,9.508e-05
79,2089.04,1.52243,1.6366,1.1165,0.55364,0.37959,0.44111,0.23799,1.89665,1.99138,1.25629,9.112e-05,9.112e-05,9.112e-05
80,2114.65,1.51209,1.63135,1.10914,0.40313,0.44099,0.4358,0.24993,1.88176,1.98781,1.20203,8.716e-05,8.716e-05,8.716e-05
81,2140.36,1.50708,1.56968,1.11898,0.4839,0.40449,0.42031,0.21327,1.93887,1.97946,1.25135,8.32e-05,8.32e-05,8.32e-05
82,2166.01,1.50344,1.55629,1.12038,0.44409,0.42651,0.41593,0.22414,1.84861,1.85378,1.21296,7.924e-05,7.924e-05,7.924e-05
83,2191.64,1.49447,1.59145,1.11314,0.45479,0.40699,0.42251,0.22619,1.87755,1.88651,1.21575,7.528e-05,7.528e-05,7.528e-05
84,2217.19,1.45432,1.56281,1.10519,0.50089,0.35469,0.41886,0.2252,1.90727,1.98702,1.24537,7.132e-05,7.132e-05,7.132e-05
85,2243.48,1.50716,1.5925,1.11121,0.50765,0.36366,0.41438,0.23143,1.89104,1.85248,1.20585,6.736e-05,6.736e-05,6.736e-05
86,2269.1,1.47568,1.57574,1.12838,0.54622,0.3745,0.42306,0.24799,1.84095,1.86425,1.18247,6.34e-05,6.34e-05,6.34e-05
87,2295.92,1.46547,1.53584,1.09726,0.57276,0.39416,0.45598,0.26042,1.83107,1.84586,1.20546,5.944e-05,5.944e-05,5.944e-05
88,2321.31,1.4414,1.53706,1.09386,0.61615,0.38111,0.44477,0.25199,1.81398,1.83616,1.186,5.548e-05,5.548e-05,5.548e-05
89,2346.95,1.43083,1.51504,1.09362,0.51187,0.39219,0.45546,0.24766,1.84823,1.90035,1.21193,5.152e-05,5.152e-05,5.152e-05
90,2372.74,1.48639,1.55495,1.10048,0.56435,0.40421,0.44481,0.23744,1.81533,1.78221,1.19114,4.756e-05,4.756e-05,4.756e-05
91,2427.72,1.53597,1.65385,1.10565,0.56868,0.30406,0.4043,0.21543,1.87445,1.90087,1.18892,4.36e-05,4.36e-05,4.36e-05
92,2452.88,1.56731,1.57879,1.08657,0.40634,0.41068,0.40464,0.21048,1.81554,1.86192,1.18012,3.964e-05,3.964e-05,3.964e-05
93,2478.3,1.52398,1.5513,1.07355,0.40504,0.4053,0.42642,0.23412,1.80267,1.79316,1.17465,3.568e-05,3.568e-05,3.568e-05
94,2503.74,1.54098,1.49536,1.09271,0.51749,0.36807,0.40063,0.21311,1.8056,1.85898,1.18124,3.172e-05,3.172e-05,3.172e-05
95,2529.2,1.4982,1.48662,1.0765,0.40482,0.41849,0.39686,0.213,1.85355,1.88056,1.16879,2.776e-05,2.776e-05,2.776e-05
96,2554.68,1.45268,1.48051,1.05429,0.50354,0.40435,0.46054,0.25764,1.81472,1.79458,1.17557,2.38e-05,2.38e-05,2.38e-05
97,2580.26,1.50271,1.47064,1.08383,0.47078,0.4228,0.44349,0.23671,1.79455,1.83751,1.1784,1.984e-05,1.984e-05,1.984e-05
98,2605.82,1.49425,1.46227,1.07135,0.4944,0.40111,0.44089,0.22435,1.80111,1.81935,1.17646,1.588e-05,1.588e-05,1.588e-05
99,2631.44,1.46745,1.45989,1.06369,0.50901,0.38724,0.45367,0.24991,1.78621,1.81186,1.17405,1.192e-05,1.192e-05,1.192e-05
100,2656.95,1.45268,1.4457,1.06425,0.49866,0.41555,0.45661,0.25678,1.77617,1.79124,1.16835,7.96e-06,7.96e-06,7.96e-06
